Channel,videoID,videoKind,videoTitle,playlistID
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,gQJHuG1Byj0,youtube#video,The Dinosaur On Your Dinner Table,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,2D1kaTBUoAk,youtube#video,What is Farthest Away?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,j2Rg8zCyTDc,youtube#video,The Deadliest Flu Season in History?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,VGurBZ0b6nI,youtube#video,The Largest River On Earth Is In The Sky,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,lNrVVHzJOSc,youtube#video,Where Do Teeth Come From?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,6G6omXLTAj0,youtube#video,What Do Raindrops Really Look Like?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,0cuO5OSDMbw,youtube#video,Is Height Genetic?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,vuGmzUDG97E,youtube#video,Will You Still Eat Raw Fish After Watching This Video?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,vN1aRN5bQQ0,youtube#video,How Habits Change Your Brain,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,tFW7orQsBuo,youtube#video,How Some Words Get Forgetted,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,T1gzpEktyKo,youtube#video,Why Do Disney Princesses All Look Like Babies?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,2GfKZlTRNjA,youtube#video,How Your DNA Proves Evolution Is Real,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,E9Bf6jdIsKw,youtube#video,Why Do We Cry Sad Tears?,UUH4BNI0-FOK2dMXoFtViWHw
